"","user_id","product_id","categoryId","behavior_type","create_time"
"1",1,2333346,2520771,"pv",1511561733
"2",1,2576651,149192,"pv",1511572885
"3",1,3830808,4181361,"pv",1511593493
"4",1,4365585,2520377,"pv",1511596146
"5",1,4606018,2735466,"pv",1511616481
"6",1,230380,411153,"pv",1511644942
"7",1,3827899,2920476,"pv",1511713473
"8",1,3745169,2891509,"pv",1511725471
"9",1,1531036,2920476,"pv",1511733732
"10",1,2266567,4145813,"pv",1511741471
"11",1,2951368,1080785,"pv",1511750828
"12",1,3108797,2355072,"pv",1511758881
"13",1,1338525,149192,"pv",1511773214
"14",1,2286574,2465336,"pv",1511797167
"15",1,5002615,2520377,"pv",1511839385
"16",1,2734026,4145813,"pv",1511842184
"17",1,5002615,2520377,"pv",1511844273
"18",1,3239041,2355072,"pv",1511855664
"19",1,4615417,4145813,"pv",1511870864
"20",1,4152983,2355072,"pv",1511871096
"21",1,266784,2520771,"pv",1511884553
"22",1,46259,149192,"pv",1511892772
"23",1,266784,2520771,"pv",1511909676
"24",1,4092065,2355072,"pv",1511910242
"25",1,1305059,2520771,"pv",1511911930
"26",1,2791761,2355072,"pv",1511914689
"27",1,3239041,2355072,"pv",1511939239
"28",1,46259,149192,"pv",1511940971
"29",1,4973305,2520771,"pv",1511969365
"30",1,2087357,2131531,"pv",1511975142
"31",1,3157558,2520771,"pv",1511984943
"32",1,2087357,2131531,"pv",1512004568
"33",1,4170517,149192,"pv",1512011019
"34",1,1340922,4690421,"pv",1512041260
"35",1,3911125,982926,"pv",1512044958
"36",1,4170517,149192,"pv",1512049438
"37",1,3682069,4690421,"pv",1512059832
"38",1,4954999,411153,"pv",1512061318
"39",1,79715,2355072,"pv",1512064350
"40",1,4666650,4756105,"pv",1512084223
"41",1,1323189,3524510,"pv",1512149435
"42",1,4198227,1320293,"pv",1512149929
"43",1,4954999,411153,"pv",1512172732
"44",1,2041056,4801426,"pv",1512187543
"45",1,3219016,3002561,"pv",1512190033
"46",1,2104483,4756105,"pv",1512194830
"47",1,2028434,4801426,"pv",1512224248
"48",1,3219016,3002561,"pv",1512244023
"49",1,2278603,3002561,"pv",1512251522
"50",1,929177,4801426,"pv",1512252443
"51",1,4954999,411153,"pv",1512264993
"52",1,818610,411153,"pv",1512268502
"53",1,271696,411153,"pv",1512272591
"54",1,568695,1320293,"pv",1512281847
"55",100,4572582,2188684,"pv",1511550516
"56",100,2971043,4869428,"pv",1511550600
"57",100,2379198,4869428,"pv",1511550806
"58",100,2971043,4869428,"pv",1511550885
"59",100,1220136,4869428,"pv",1511550908
"60",100,2518420,3425094,"pv",1511551443
"61",100,3763048,3425094,"pv",1511551450
"62",100,2518420,3425094,"pv",1511551495
"63",100,1953042,3425094,"pv",1511551619
"64",100,3763048,3425094,"fav",1511551860
"65",100,5100093,2945933,"pv",1511552352
"66",100,704268,223690,"pv",1511563606
"67",100,4115850,223690,"fav",1511563834
"68",100,2379198,4869428,"pv",1511564961
"69",100,2971043,4869428,"fav",1511565222
"70",100,1803559,1813868,"pv",1511576533
"71",100,1603476,2951233,"buy",1511579908
"72",100,3621238,1521931,"pv",1511582166
"73",100,2971043,4869428,"buy",1511617549
"74",100,2337874,1194311,"pv",1511680485
"75",100,4182583,1258177,"pv",1511680521
"76",100,2758020,2429887,"pv",1511683649
"77",100,4919803,2881542,"pv",1511684032
"78",100,3839112,2881542,"pv",1511684109
"79",100,4848310,2881542,"pv",1511684220
"80",100,3245421,2881542,"pv",1511684245
"81",100,2434962,3897386,"pv",1511690835
"82",100,3486895,4302328,"pv",1511702025
"83",100,3245421,2881542,"pv",1511704155
"84",100,3222578,2429887,"pv",1511739395
"85",100,2758020,2429887,"pv",1511739402
"86",100,2158340,2429887,"pv",1511742127
"87",100,2337874,1194311,"pv",1511742199
"88",100,3245421,2881542,"fav",1511742273
"89",100,2758020,2429887,"pv",1511742275
"90",100,3245421,2881542,"pv",1511742513
"91",100,2752250,2429887,"pv",1511742799
"92",100,2158340,2429887,"fav",1511742875
"93",100,598929,2429887,"pv",1511742899
"94",100,4182583,1258177,"pv",1511745391
"95",100,1819306,1194311,"pv",1511745401
"96",100,4182583,1258177,"pv",1511750991
"97",100,2337874,1194311,"pv",1511751022
"98",100,3658601,2342116,"pv",1511757958
"99",100,5153036,2342116,"pv",1511758581
"100",100,598929,2429887,"buy",1511759458
"101",100,3245421,2881542,"pv",1511759664
"102",100,598929,2429887,"pv",1511765548
"103",100,2971043,4869428,"pv",1511765568
"104",100,4661590,3425094,"pv",1511765639
"105",100,4902636,3425094,"pv",1511765659
"106",100,1046201,3002561,"pv",1511765687
"107",100,3687011,223690,"pv",1511765918
"108",100,2677866,3624696,"pv",1511766122
"109",100,4492008,4482016,"pv",1511766135
"110",100,2690154,2293367,"pv",1511766238
"111",100,4341929,2293367,"fav",1511766408
"112",100,4863356,2293367,"pv",1511766426
"113",100,4244099,2293367,"pv",1511766434
"114",100,562760,2293367,"pv",1511766436
"115",100,4863356,2293367,"pv",1511766455
"116",100,1640913,2293367,"pv",1511766462
"117",100,2206711,2293367,"pv",1511766473
"118",100,3895389,2293367,"pv",1511766505
